Sales ID,Order ID,Order Date,Ship Date,Ship Mode,Sales,Quantity,Discount,Profit
169194-10002167-4,CA-2013-169194,21/06/2013,26/06/2013,Standard Class,45,3,0,4.95
169194-10003988-2,CA-2013-169194,21/06/2013,26/06/2013,Standard Class,21.8,2,0,6.10
115742-10004410-3,CA-2012-115742,18/04/2012,22/04/2012,Standard Class,38.22,6,0,17.96
115742-10002762-7,CA-2012-115742,18/04/2012,22/04/2012,Standard Class,75.18,6,0,35.33
115742-10001706-6,CA-2012-115742,18/04/2012,22/04/2012,Standard Class,6.16,2,0,2.96
115742-10003061-8,CA-2012-115742,18/04/2012,22/04/2012,Standard Class,89.99,1,0,17.10
105816-10000304-1,CA-2013-105816,12/12/2013,18/12/2013,Standard Class,15.26,7,0,6.26
105816-10002447-1,CA-2013-105816,12/12/2013,18/12/2013,Standard Class,1029.95,5,0,298.69
111682-10000604-2,CA-2013-111682,18/06/2013,19/06/2013,First Class,208.56,6,0,52.14
111682-10001569-3,CA-2013-111682,18/06/2013,19/06/2013,First Class,32.4,5,0,15.55
111682-10003968-3,CA-2013-111682,18/06/2013,19/06/2013,First Class,319.41,5,0.1,7.10
111682-10000587-1,CA-2013-111682,18/06/2013,19/06/2013,First Class,14.56,2,0,6.99
111682-10002167-3,CA-2013-111682,18/06/2013,19/06/2013,First Class,30,2,0,3.30
111682-10001460-4,CA-2013-111682,18/06/2013,19/06/2013,First Class,48.48,4,0.2,16.36
111682-10001868-1,CA-2013-111682,18/06/2013,19/06/2013,First Class,1.68,1,0,0.84
135545-10004633-1,CA-2012-135545,24/11/2012,30/11/2012,Standard Class,13.98,2,0,6.15
135545-10001078-2,CA-2012-135545,24/11/2012,30/11/2012,Standard Class,25.824,6,0.2,9.36
135545-10003892-1,CA-2012-135545,24/11/2012,30/11/2012,Standard Class,146.73,3,0,68.96
135545-10000397-7,CA-2012-135545,24/11/2012,30/11/2012,Standard Class,79.76,4,0,22.33
164175-10001146-2,US-2012-164175,30/04/2012,05/05/2012,Standard Class,213.115,5,0.3,-15.22
106376-10002671-1,CA-2011-106376,05/12/2011,10/12/2011,Standard Class,1113.024,8,0.2,111.30
106376-10002726-1,CA-2011-106376,05/12/2011,10/12/2011,Standard Class,167.968,4,0.2,62.99
119823-10000482-7,CA-2013-119823,05/06/2013,07/06/2013,First Class,75.88,2,0,35.66
106075-10004654-4,CA-2013-106075,19/09/2013,24/09/2013,Standard Class,4.616,1,0.2,1.73
114440-10004675-1,CA-2014-114440,15/09/2014,18/09/2014,Second Class,19.05,3,0,8.76
134026-10000513-8,US-2012-134026,26/04/2012,02/05/2012,Standard Class,831.936,8,0.2,-114.39
134026-10003708-9,US-2012-134026,26/04/2012,02/05/2012,Standard Class,97.04,2,0.2,1.21
134026-10004123-7,US-2012-134026,26/04/2012,02/05/2012,Standard Class,72.784,1,0.2,-18.20
118038-10004182-1,US-2014-118038,10/12/2014,12/12/2014,First Class,1.248,3,0.8,-1.93
118038-10000260-9,US-2014-118038,10/12/2014,12/12/2014,First Class,9.708,3,0.6,-5.82
118038-10000615-2,US-2014-118038,10/12/2014,12/12/2014,First Class,27.24,3,0.2,2.72
147606-10003194-1,US-2011-147606,26/11/2011,01/12/2011,Second Class,19.3,5,0.6,-14.48
127208-10002118-2,CA-2013-127208,13/06/2013,16/06/2013,First Class,208.16,1,0,56.20
127208-10002309-1,CA-2013-127208,13/06/2013,16/06/2013,First Class,16.74,3,0,8.04
139451-10002053-1,CA-2011-139451,12/10/2011,16/10/2011,Standard Class,14.9,5,0,4.17
139451-10002370-2,CA-2011-139451,12/10/2011,16/10/2011,Standard Class,21.39,1,0,6.20
149734-10000927-2,CA-2012-149734,03/09/2012,08/09/2012,Standard Class,200.984,7,0.2,62.81
119662-10003656-2,US-2014-119662,14/11/2014,17/11/2014,First Class,230.376,3,0.2,-48.95
140088-10000863-3,CA-2014-140088,29/05/2014,31/05/2014,Second Class,301.96,2,0,33.22
155558-10001998-1,CA-2014-155558,27/10/2014,03/11/2014,Standard Class,19.99,1,0,6.80
155558-10000134-6,CA-2014-155558,27/10/2014,03/11/2014,Standard Class,6.16,2,0,2.96
159695-10003442-1,CA-2013-159695,06/04/2013,11/04/2013,Second Class,158.368,7,0.2,13.86
109806-10004930-2,CA-2013-109806,18/09/2013,23/09/2013,Standard Class,20.1,3,0,6.63
109806-10004093-7,CA-2013-109806,18/09/2013,23/09/2013,Standard Class,73.584,2,0.2,8.28
109806-10000304-6,CA-2013-109806,18/09/2013,23/09/2013,Standard Class,6.48,1,0,3.11
149587-10003177-1,CA-2012-149587,31/01/2012,05/02/2012,Second Class,12.96,2,0,6.22
149587-10003799-5,CA-2012-149587,31/01/2012,05/02/2012,Second Class,53.34,3,0,16.54
149587-10002852-3,CA-2012-149587,31/01/2012,05/02/2012,Second Class,32.96,2,0,16.15
109484-10004738-5,US-2014-109484,07/11/2014,13/11/2014,Standard Class,5.682,1,0.7,-3.79
161018-10000629-9,CA-2014-161018,10/11/2014,12/11/2014,Second Class,96.53,7,0,40.54
157833-10001721-5,CA-2014-157833,18/06/2014,21/06/2014,First Class,51.312,3,0.2,17.96
149223-10000358-7,CA-2013-149223,07/09/2013,12/09/2013,Standard Class,77.88,6,0,22.59
158568-10003256-6,CA-2013-158568,30/08/2013,03/09/2013,Standard Class,64.624,7,0.2,22.62
158568-10001767-9,CA-2013-158568,30/08/2013,03/09/2013,Standard Class,95.976,3,0.2,-10.80
158568-10002609-1,CA-2013-158568,30/08/2013,03/09/2013,Standard Class,1.788,3,0.8,-3.04
129903-10004040-2,CA-2013-129903,02/12/2013,05/12/2013,Second Class,23.92,4,0,11.72
156867-10001552-2,US-2012-156867,13/11/2012,17/11/2012,Standard Class,238.896,6,0.2,-26.88
156867-10004006-1,US-2012-156867,13/11/2012,17/11/2012,Standard Class,102.36,3,0.2,-3.84
156867-10002794-3,US-2012-156867,13/11/2012,17/11/2012,Standard Class,36.882,3,0.7,-25.82
119004-10003499-7,CA-2014-119004,24/11/2014,29/11/2014,Standard Class,74.112,8,0.2,17.60
119004-10002844-2,CA-2014-119004,24/11/2014,29/11/2014,Standard Class,27.992,1,0.2,2.10
119004-10000390-3,CA-2014-119004,24/11/2014,29/11/2014,Standard Class,3.304,1,0.2,1.07
129476-10000844-3,CA-2012-129476,15/10/2012,20/10/2012,Standard Class,339.96,5,0.2,67.99
146780-10001934-4,CA-2014-146780,26/12/2014,31/12/2014,Standard Class,41.96,2,0,10.91
128867-10000380-7,CA-2013-128867,04/11/2013,11/11/2013,Standard Class,75.96,2,0,22.79
128867-10003981-2,CA-2013-128867,04/11/2013,11/11/2013,Standard Class,27.24,6,0,13.35
115259-10000621-4,CA-2011-115259,25/08/2011,27/08/2011,Second Class,40.096,14,0.2,14.53
115259-10002600-4,CA-2011-115259,25/08/2011,27/08/2011,Second Class,4.72,2,0.2,1.65
115259-10004965-2,CA-2011-115259,25/08/2011,27/08/2011,Second Class,23.976,3,0.2,7.49
115259-10002504-1,CA-2011-115259,25/08/2011,27/08/2011,Second Class,130.464,6,0.2,44.03
110457-10001768-7,CA-2012-110457,02/03/2012,06/03/2012,Standard Class,787.53,3,0,165.38
136476-10003650-1,US-2012-136476,05/04/2012,10/04/2012,Standard Class,157.794,1,0.7,-115.72
103730-10002157-4,CA-2013-103730,13/06/2013,16/06/2013,First Class,47.04,3,0,18.35
103730-10003910-3,CA-2013-103730,13/06/2013,16/06/2013,First Class,30.84,4,0,13.88
103730-10000777-2,CA-2013-103730,13/06/2013,16/06/2013,First Class,226.56,6,0,63.44
103730-10002500-1,CA-2013-103730,13/06/2013,16/06/2013,First Class,115.02,9,0,51.76
103730-10003875-6,CA-2013-103730,13/06/2013,16/06/2013,First Class,68.04,7,0,19.73
152030-10004063-6,US-2011-152030,26/12/2011,28/12/2011,Second Class,600.558,3,0.3,-8.58
134614-10004534-6,US-2011-134614,20/09/2011,25/09/2011,Standard Class,617.7,6,0.5,-407.68
107272-10003274-2,US-2014-107272,06/11/2014,13/11/2014,Standard Class,2.388,2,0.7,-1.83
107272-10002974-2,US-2014-107272,06/11/2014,13/11/2014,Standard Class,243.992,7,0.2,30.50
125969-10001146-8,US-2013-125969,07/11/2013,11/11/2013,Second Class,81.424,2,0.2,-9.16
125969-10003773-2,US-2013-125969,07/11/2013,11/11/2013,Second Class,238.56,3,0,26.24
164147-10002293-5,US-2014-164147,03/02/2014,06/02/2014,First Class,59.97,5,0.4,-11.99
164147-10002377-7,US-2014-164147,03/02/2014,06/02/2014,First Class,78.304,2,0.2,29.36
164147-10002780-2,US-2014-164147,03/02/2014,06/02/2014,First Class,21.456,9,0.2,6.97
145583-10001804-2,CA-2013-145583,14/10/2013,20/10/2013,Standard Class,20.04,3,0,9.62
145583-10001736-3,CA-2013-145583,14/10/2013,20/10/2013,Standard Class,35.44,1,0,16.66
145583-10001149-1,CA-2013-145583,14/10/2013,20/10/2013,Standard Class,11.52,4,0,3.46
145583-10002988-4,CA-2013-145583,14/10/2013,20/10/2013,Standard Class,4.02,2,0,1.97
145583-10004781-7,CA-2013-145583,14/10/2013,20/10/2013,Standard Class,76.176,3,0.2,26.66
145583-10001218-6,CA-2013-145583,14/10/2013,20/10/2013,Standard Class,65.88,6,0,18.45
145583-10001706-4,CA-2013-145583,14/10/2013,20/10/2013,Standard Class,43.12,14,0,20.70
110366-10004848-8,CA-2013-110366,06/09/2013,08/09/2013,Second Class,82.8,2,0.2,10.35
106180-10000940-8,CA-2014-106180,19/09/2014,24/09/2014,Standard Class,8.82,3,0,2.38
106180-10004030-1,CA-2014-106180,19/09/2014,24/09/2014,Standard Class,10.86,3,0,5.10
106180-10004327-1,CA-2014-106180,19/09/2014,24/09/2014,Standard Class,143.7,3,0,68.98
155376-10001058-8,CA-2014-155376,23/12/2014,28/12/2014,Standard Class,839.43,3,0,218.25
110744-10003656-6,CA-2012-110744,07/09/2012,12/09/2012,Standard Class,671.93,7,0,20.16
110072-10000521-9,CA-2011-110072,22/10/2011,28/10/2011,Standard Class,93.888,4,0.2,12.91
114489-10000215-3,CA-2013-114489,06/12/2013,10/12/2013,Standard Class,384.45,11,0,103.80
114489-10001448-1,CA-2013-114489,06/12/2013,10/12/2013,Standard Class,149.97,3,0,6.00
114489-10000454-1,CA-2013-114489,06/12/2013,10/12/2013,Standard Class,1951.84,8,0,585.55
114489-10002735-1,CA-2013-114489,06/12/2013,10/12/2013,Standard Class,171.55,5,0,80.63
158834-10000326-1,CA-2013-158834,14/03/2013,17/03/2013,First Class,157.92,5,0.2,17.77
158834-10001254-2,CA-2013-158834,14/03/2013,17/03/2013,First Class,203.184,2,0.2,15.24
124919-10001950-5,CA-2012-124919,31/05/2012,02/06/2012,First Class,58.38,7,0,26.27
124919-10002254-1,CA-2012-124919,31/05/2012,02/06/2012,First Class,105.52,4,0,48.54
124919-10001590-8,CA-2012-124919,31/05/2012,02/06/2012,First Class,80.88,6,0,21.03
118948-10001547-6,CA-2012-118948,28/05/2012,03/06/2012,Standard Class,6.63,3,0,1.79
104269-10004063-4,CA-2011-104269,01/03/2011,06/03/2011,Second Class,457.568,2,0.2,51.48
114104-10002475-1,CA-2013-114104,21/11/2013,25/11/2013,Standard Class,14.62,2,0,6.87
114104-10004536-9,CA-2013-114104,21/11/2013,25/11/2013,Standard Class,944.93,7,0,236.23
162733-10002751-5,CA-2013-162733,12/05/2013,13/05/2013,First Class,5.98,1,0,2.69
119697-10003657-5,CA-2012-119697,28/12/2012,31/12/2012,Second Class,54.384,2,0.2,1.36
154508-10001990-2,CA-2013-154508,17/11/2013,21/11/2013,Standard Class,28.4,5,0,13.35
113817-10004002-2,CA-2013-113817,08/11/2013,12/11/2013,Standard Class,27.68,2,0.2,9.69
139892-10004441-9,CA-2011-139892,08/09/2011,12/09/2011,Standard Class,9.936,3,0.2,2.73
139892-10000822-8,CA-2011-139892,08/09/2011,12/09/2011,Standard Class,8159.952,8,0.4,-1359.99
139892-10000991-2,CA-2011-139892,08/09/2011,12/09/2011,Standard Class,275.928,3,0.2,-58.63
139892-10004287-1,CA-2011-139892,08/09/2011,12/09/2011,Standard Class,1740.06,9,0.3,-24.86
139892-10002656-3,CA-2011-139892,08/09/2011,12/09/2011,Standard Class,32.064,6,0.2,6.81
139892-10002518-1,CA-2011-139892,08/09/2011,12/09/2011,Standard Class,177.98,5,0.8,-453.85
139892-10003931-1,CA-2011-139892,08/09/2011,12/09/2011,Standard Class,143.976,3,0.2,9.00
118962-10000659-2,CA-2011-118962,05/08/2011,09/08/2011,Standard Class,20.94,3,0,9.84
118962-10001144-1,CA-2011-118962,05/08/2011,09/08/2011,Standard Class,110.96,2,0,53.26
118962-10003817-3,CA-2011-118962,05/08/2011,09/08/2011,Standard Class,340.144,7,0.2,21.26
100853-10000891-5,US-2011-100853,14/09/2011,19/09/2011,Standard Class,52.448,2,0.8,-131.12
100853-10003148-2,US-2011-100853,14/09/2011,19/09/2011,Standard Class,20.16,4,0.2,6.55
152366-10002684-9,US-2014-152366,22/04/2014,26/04/2014,Second Class,97.264,4,0.8,-243.16
101511-10004698-3,US-2012-101511,21/11/2012,23/11/2012,Second Class,396.802,7,0.3,-11.34
101511-10002189-1,US-2012-101511,21/11/2012,23/11/2012,Second Class,15.88,5,0.2,-3.77
137225-10001940-3,CA-2012-137225,15/12/2012,19/12/2012,Standard Class,3.28,1,0,1.41
166191-10003455-2,CA-2011-166191,05/12/2011,09/12/2011,Second Class,24.816,2,0.2,1.86
166191-10004659-4,CA-2011-166191,05/12/2011,09/12/2011,Second Class,408.744,7,0.2,76.64
158274-10003273-5,CA-2011-158274,19/11/2011,24/11/2011,Second Class,503.96,4,0,131.03
158274-10004896-1,CA-2011-158274,19/11/2011,24/11/2011,Second Class,149.95,5,0,41.99
158274-10002345-2,CA-2011-158274,19/11/2011,24/11/2011,Second Class,29,2,0,7.25
105018-10001890-7,CA-2013-105018,29/11/2013,03/12/2013,Standard Class,7.16,2,0,3.44
123260-10002323-1,CA-2011-123260,26/08/2011,30/08/2011,Standard Class,176.8,8,0,22.98
157000-10001328-3,CA-2013-157000,17/07/2013,23/07/2013,Standard Class,37.224,3,0.2,3.72
157000-10001950-2,CA-2013-157000,17/07/2013,23/07/2013,Standard Class,20.016,3,0.2,6.26
102281-10002613-8,CA-2012-102281,12/10/2012,14/10/2012,First Class,899.136,4,0.2,112.39
102281-10001552-7,CA-2012-102281,12/10/2012,14/10/2012,First Class,71.76,6,0,20.09
102281-10000061-5,CA-2012-102281,12/10/2012,14/10/2012,First Class,51.84,8,0,24.88
102281-10002545-6,CA-2012-102281,12/10/2012,14/10/2012,First Class,626.352,3,0.2,46.98
102281-10003514-1,CA-2012-102281,12/10/2012,14/10/2012,First Class,19.9,5,0,6.57
131457-10001509-1,CA-2012-131457,31/10/2012,06/11/2012,Standard Class,14.28,7,0,6.71
140004-10004685-7,CA-2011-140004,21/03/2011,25/03/2011,Standard Class,7.408,2,0.2,1.20
140004-10004027-6,CA-2011-140004,21/03/2011,25/03/2011,Standard Class,6.048,3,0.2,1.59
107720-10001414-4,CA-2014-107720,07/11/2014,14/11/2014,Standard Class,46.26,3,0,12.03
124303-10000343-2,US-2014-124303,07/07/2014,14/07/2014,Standard Class,2.946,2,0.7,-2.26
124303-10002749-1,US-2014-124303,07/07/2014,14/07/2014,Standard Class,16.056,3,0.2,5.82
105074-10002666-2,CA-2014-105074,25/06/2014,30/06/2014,Standard Class,21.744,3,0.2,6.80
133690-10004289-2,CA-2011-133690,03/08/2011,05/08/2011,First Class,218.75,2,0.5,-161.88
133690-10003622-2,CA-2011-133690,03/08/2011,05/08/2011,First Class,2.6,1,0.2,0.29
116701-10003217-6,US-2014-116701,18/12/2014,22/12/2014,Second Class,66.284,2,0.8,-178.97
126382-10002960-3,CA-2014-126382,04/06/2014,08/06/2014,Standard Class,35.168,7,0.2,9.67
108329-10001918-4,CA-2014-108329,10/12/2014,15/12/2014,Standard Class,444.768,4,0.2,44.48
135860-10000642-8,CA-2014-135860,02/12/2014,08/12/2014,Standard Class,83.92,4,0,5.87
135860-10001700-1,CA-2014-135860,02/12/2014,08/12/2014,Standard Class,131.98,2,0,35.63
135860-10003274-1,CA-2014-135860,02/12/2014,08/12/2014,Standard Class,15.92,4,0,7.48
135860-10000134-5,CA-2014-135860,02/12/2014,08/12/2014,Standard Class,52.29,9,0,16.21
135860-10001522-9,CA-2014-135860,02/12/2014,08/12/2014,Standard Class,91.99,1,0,3.68
101007-10001266-2,CA-2012-101007,09/02/2012,13/02/2012,Second Class,20.8,2,0.2,6.50
146262-10004544-2,CA-2012-146262,02/01/2012,09/01/2012,Standard Class,23.68,2,0.2,8.88
146262-10004695-4,CA-2012-146262,02/01/2012,09/01/2012,Standard Class,452.45,5,0.5,-244.32
146262-10002844-6,CA-2012-146262,02/01/2012,09/01/2012,Standard Class,62.982,3,0.4,-14.70
146262-10000864-1,CA-2012-146262,02/01/2012,09/01/2012,Standard Class,1188,9,0.7,-950.40
146262-10000109-8,CA-2012-146262,02/01/2012,09/01/2012,Standard Class,89.584,2,0.2,4.48
130162-10001328-9,CA-2013-130162,29/10/2013,02/11/2013,Standard Class,93.06,6,0,26.06
130162-10002563-3,CA-2013-130162,29/10/2013,02/11/2013,Standard Class,302.376,3,0.2,22.68
169397-10000585-5,CA-2012-169397,24/12/2012,27/12/2012,First Class,5.584,2,0.2,1.81
169397-10004000-2,CA-2012-169397,24/12/2012,27/12/2012,First Class,22.704,6,0.2,8.23
169397-10002852-1,CA-2012-169397,24/12/2012,27/12/2012,First Class,19.776,4,0.7,-13.84
169397-10000087-7,CA-2012-169397,24/12/2012,27/12/2012,First Class,72.704,4,0.2,19.08
169397-10001148-4,CA-2012-169397,24/12/2012,27/12/2012,First Class,479.988,4,0.7,-383.99
169397-10001958-2,CA-2012-169397,24/12/2012,27/12/2012,First Class,27.168,2,0.2,2.72
163055-10001026-2,CA-2012-163055,09/08/2012,16/08/2012,Standard Class,2.2,1,0,0.97
163055-10003748-6,CA-2012-163055,09/08/2012,16/08/2012,Standard Class,622.45,5,0,136.94
163055-10002485-2,CA-2012-163055,09/08/2012,16/08/2012,Standard Class,21.98,1,0,0.22
145436-10004860-1,US-2012-145436,28/02/2012,04/03/2012,Standard Class,161.568,2,0.2,-28.27
145436-10004477-3,US-2012-145436,28/02/2012,04/03/2012,Standard Class,389.696,8,0.2,43.84
156216-10001679-1,US-2011-156216,13/09/2011,17/09/2011,Standard Class,18.648,7,0.7,-12.43
100930-10001705-2,US-2014-100930,08/04/2014,13/04/2014,Standard Class,233.86,2,0.45,-102.05
100930-10003473-6,US-2014-100930,08/04/2014,13/04/2014,Standard Class,620.6145,3,0.45,-248.25
100930-10001679-5,US-2014-100930,08/04/2014,13/04/2014,Standard Class,5.328,2,0.7,-3.55
100930-10004017-2,US-2014-100930,08/04/2014,13/04/2014,Standard Class,258.072,3,0.2,0.00
100930-10003832-6,US-2014-100930,08/04/2014,13/04/2014,Standard Class,617.976,3,0.2,-7.72
160514-10002479-1,CA-2014-160514,13/11/2014,17/11/2014,Standard Class,10.56,2,0,4.75
157749-10003349-2,CA-2013-157749,05/06/2013,10/06/2013,Second Class,25.92,5,0.2,9.40
157749-10000576-4,CA-2013-157749,05/06/2013,10/06/2013,Second Class,419.68,5,0.6,-356.73
157749-10004351-1,CA-2013-157749,05/06/2013,10/06/2013,Second Class,11.688,3,0.6,-4.68
157749-10000011-3,CA-2013-157749,05/06/2013,10/06/2013,Second Class,31.984,2,0.2,11.19
157749-10002607-1,CA-2013-157749,05/06/2013,10/06/2013,Second Class,177.225,5,0.5,-120.51
157749-10002505-4,CA-2013-157749,05/06/2013,10/06/2013,Second Class,4.044,3,0.6,-2.83
157749-10004685-7,CA-2013-157749,05/06/2013,10/06/2013,Second Class,7.408,2,0.2,1.20
131926-10004063-2,CA-2011-131926,01/06/2011,06/06/2011,Second Class,2001.86,7,0,580.54
131926-10002276-1,CA-2011-131926,01/06/2011,06/06/2011,Second Class,166.72,2,0,41.68
131926-10004082-4,CA-2011-131926,01/06/2011,06/06/2011,Second Class,47.88,6,0,23.94
131926-10002945-1,CA-2011-131926,01/06/2011,06/06/2011,Second Class,1503.25,5,0,496.07
131926-10000061-2,CA-2011-131926,01/06/2011,06/06/2011,Second Class,25.92,4,0,12.44
154739-10002965-3,CA-2013-154739,11/12/2013,16/12/2013,Second Class,321.568,2,0.2,28.14
145625-10004569-7,CA-2013-145625,12/09/2013,18/09/2013,Standard Class,7.61,1,0,3.58
145625-10003832-3,CA-2013-145625,12/09/2013,18/09/2013,Standard Class,3347.37,13,0,636.00
146941-10001228-8,CA-2013-146941,11/12/2013,14/12/2013,First Class,80.58,6,0,22.56
146941-10003296-3,CA-2013-146941,11/12/2013,14/12/2013,First Class,361.92,4,0,162.86
159982-10002505-1,US-2012-159982,28/11/2012,04/12/2012,Standard Class,12.132,9,0.6,-8.49
159982-10004804-8,US-2012-159982,28/11/2012,04/12/2012,Standard Class,82.368,2,0.2,-19.56
159982-10001590-5,US-2012-159982,28/11/2012,04/12/2012,Standard Class,53.92,5,0.2,4.04
159982-10001580-6,US-2012-159982,28/11/2012,04/12/2012,Standard Class,647.904,6,0.2,56.69
163139-10000290-2,CA-2014-163139,02/12/2014,04/12/2014,Second Class,20.37,3,0,6.93
163139-10002790-2,CA-2014-163139,02/12/2014,04/12/2014,Second Class,221.55,3,0,6.65
163139-10003460-1,CA-2014-163139,02/12/2014,04/12/2014,Second Class,17.52,5,0.2,6.13
155299-10002203-1,US-2014-155299,09/06/2014,13/06/2014,Standard Class,1.624,2,0.8,-4.47
106992-10000822-3,US-2011-106992,19/09/2011,21/09/2011,Second Class,3059.982,3,0.4,-510.00
106992-10003353-2,US-2011-106992,19/09/2011,21/09/2011,Second Class,2519.958,7,0.4,-252.00
125318-10001433-3,CA-2013-125318,07/06/2013,14/06/2013,Standard Class,328.224,4,0.2,28.72
155040-10004469-7,CA-2012-155040,10/11/2012,15/11/2012,Standard Class,79.9,2,0,35.16
136826-10003602-1,CA-2014-136826,17/06/2014,21/06/2014,Standard Class,14.016,3,0.2,4.73
111010-10003472-7,CA-2013-111010,22/01/2013,28/01/2013,Standard Class,7.56,6,0,0.30
145366-10004180-3,US-2014-145366,10/12/2014,14/12/2014,Standard Class,37.208,1,0.2,-7.44
145366-10004386-5,US-2014-145366,10/12/2014,14/12/2014,Standard Class,57.576,3,0.2,21.59
163979-10003208-7,CA-2014-163979,29/12/2014,03/01/2015,Second Class,725.84,4,0,210.49
155334-10003628-2,CA-2012-155334,30/07/2012,31/07/2012,First Class,209.93,7,0,92.37
155334-10003274-5,CA-2012-155334,30/07/2012,31/07/2012,First Class,5.28,3,0,2.32
155334-10002557-1,CA-2012-155334,30/07/2012,31/07/2012,First Class,10.92,3,0.2,4.10
118136-10002615-8,CA-2014-118136,17/09/2014,18/09/2014,First Class,8.82,2,0,4.06
