Hecho ID,Customer ID,Product ID,Sales ID
51,DP-13000,OFF-LA-10002762,115742-10002762-7
52,DP-13000,FUR-FU-10001706,115742-10001706-6
53,DP-13000,FUR-CH-10003061,115742-10003061-8
54,JM-15265,OFF-FA-10000304,105816-10000304-1
55,JM-15265,TEC-PH-10002447,105816-10002447-1
56,TB-21055,OFF-ST-10000604,111682-10000604-2
57,TB-21055,OFF-PA-10001569,111682-10001569-3
58,TB-21055,FUR-CH-10003968,111682-10003968-3
59,TB-21055,OFF-PA-10000587,111682-10000587-1
60,TB-21055,TEC-AC-10002167,111682-10002167-3
61,TB-21055,OFF-BI-10001460,111682-10001460-4
62,TB-21055,OFF-AR-10001868,111682-10001868-1
63,KM-16720,TEC-AC-10004633,135545-10004633-1
64,KM-16720,OFF-BI-10001078,135545-10001078-2
65,KM-16720,OFF-PA-10003892,135545-10003892-1
66,KM-16720,FUR-FU-10000397,135545-10000397-7
67,PS-18970,FUR-CH-10001146,164175-10001146-2
68,BS-11590,OFF-AR-10002671,106376-10002671-1
69,BS-11590,TEC-PH-10002726,106376-10002726-1
70,KD-16270,OFF-PA-10000482,119823-10000482-7
71,HM-14980,OFF-BI-10004654,106075-10004654-4
72,TB-21520,OFF-PA-10004675,114440-10004675-1
73,JE-15745,FUR-CH-10000513,134026-10000513-8
74,JE-15745,FUR-FU-10003708,134026-10003708-9
75,JE-15745,OFF-ST-10004123,134026-10004123-7
76,KB-16600,OFF-BI-10004182,118038-10004182-1
77,KB-16600,FUR-FU-10000260,118038-10000260-9
78,KB-16600,OFF-ST-10000615,118038-10000615-2
79,JE-15745,FUR-FU-10003194,147606-10003194-1
80,SC-20770,OFF-AP-10002118,127208-10002118-2
81,SC-20770,OFF-BI-10002309,127208-10002309-1
82,DN-13690,OFF-AR-10002053,139451-10002053-1
83,DN-13690,OFF-ST-10002370,139451-10002370-2
84,JC-16105,OFF-EN-10000927,149734-10000927-2
85,CS-12400,OFF-ST-10003656,119662-10003656-2
86,PO-18865,FUR-CH-10000863,140088-10000863-3
87,PG-18895,TEC-AC-10001998,155558-10001998-1
88,PG-18895,OFF-LA-10000134,155558-10000134-6
89,GM-14455,OFF-ST-10003442,159695-10003442-1
90,JS-15685,OFF-AR-10004930,109806-10004930-2
91,JS-15685,TEC-PH-10004093,109806-10004093-7
92,JS-15685,OFF-PA-10000304,109806-10000304-6
93,KB-16315,OFF-PA-10003177,149587-10003177-1
94,KB-16315,FUR-FU-10003799,149587-10003799-5
95,KB-16315,OFF-BI-10002852,149587-10002852-3
96,RB-19705,OFF-BI-10004738,109484-10004738-5
97,PN-18775,FUR-FU-10000629,161018-10000629-9
98,KD-16345,OFF-BI-10001721,157833-10001721-5
99,ER-13855,OFF-AP-10000358,149223-10000358-7
100,RB-19465,OFF-PA-10003256,158568-10003256-6
101,RB-19465,TEC-AC-10001767,158568-10001767-9
102,RB-19465,OFF-BI-10002609,158568-10002609-1
103,GZ-14470,OFF-PA-10004040,129903-10004040-2
104,LC-16870,TEC-AC-10001552,156867-10001552-2
105,LC-16870,FUR-FU-10004006,156867-10004006-1
106,LC-16870,OFF-BI-10002794,156867-10002794-3
107,JM-15250,TEC-AC-10003499,119004-10003499-7
108,JM-15250,TEC-PH-10002844,119004-10002844-2
109,JM-15250,OFF-AR-10000390,119004-10000390-3
110,PA-19060,TEC-AC-10000844,129476-10000844-3
111,CV-12805,FUR-FU-10001934,146780-10001934-4
112,CL-12565,OFF-AR-10000380,128867-10000380-7
113,CL-12565,OFF-BI-10003981,128867-10003981-2
114,RC-19960,OFF-FA-10000621,115259-10000621-4
115,RC-19960,OFF-EN-10002600,115259-10002600-4
116,RC-19960,OFF-PA-10004965,115259-10004965-2
117,RC-19960,OFF-EN-10002504,115259-10002504-1
118,DK-13090,FUR-TA-10001768,110457-10001768-7
119,GG-14650,OFF-BI-10003650,136476-10003650-1
120,SC-20725,FUR-FU-10002157,103730-10002157-4
121,SC-20725,OFF-BI-10003910,103730-10003910-3
122,SC-20725,OFF-ST-10000777,103730-10000777-2
123,SC-20725,OFF-EN-10002500,103730-10002500-1
124,SC-20725,TEC-PH-10003875,103730-10003875-6
125,AD-10180,FUR-CH-10004063,152030-10004063-6
126,PF-19165,FUR-TA-10004534,134614-10004534-6
127,TS-21610,OFF-BI-10003274,107272-10003274-2
128,TS-21610,OFF-ST-10002974,107272-10002974-2
129,LS-16975,FUR-CH-10001146,125969-10001146-8
130,LS-16975,FUR-FU-10003773,125969-10003773-2
131,DW-13585,TEC-PH-10002293,164147-10002293-5
132,DW-13585,OFF-PA-10002377,164147-10002377-7
133,DW-13585,OFF-FA-10002780,164147-10002780-2
134,LC-16885,OFF-PA-10001804,145583-10001804-2
135,LC-16885,OFF-PA-10001736,145583-10001736-3
136,LC-16885,OFF-AR-10001149,145583-10001149-1
137,LC-16885,OFF-FA-10002988,145583-10002988-4
138,LC-16885,OFF-BI-10004781,145583-10004781-7
139,LC-16885,OFF-SU-10001218,145583-10001218-6
140,LC-16885,FUR-FU-10001706,145583-10001706-4
141,JD-15895,FUR-FU-10004848,110366-10004848-8
142,SH-19975,OFF-AR-10000940,106180-10000940-8
143,SH-19975,OFF-EN-10004030,106180-10004030-1
144,SH-19975,OFF-PA-10004327,106180-10004327-1
145,SG-20080,OFF-AP-10001058,155376-10001058-8
146,HA-14920,OFF-ST-10003656,110744-10003656-6
147,MG-17680,FUR-FU-10000521,110072-10000521-9
148,JE-16165,TEC-PH-10000215,114489-10000215-3
149,JE-16165,TEC-PH-10001448,114489-10001448-1
150,JE-16165,FUR-CH-10000454,114489-10000454-1
151,JE-16165,OFF-BI-10002735,114489-10002735-1
152,TW-21025,OFF-AP-10000326,158834-10000326-1
153,TW-21025,TEC-PH-10001254,158834-10001254-2
154,SP-20650,OFF-PA-10001950,124919-10001950-5
155,SP-20650,OFF-PA-10002254,124919-10002254-1
156,SP-20650,OFF-ST-10001590,124919-10001590-8
157,NK-18490,OFF-AR-10001547,118948-10001547-6
158,DB-13060,FUR-CH-10004063,104269-10004063-4
159,NP-18670,OFF-LA-10002475,114104-10002475-1
160,NP-18670,TEC-PH-10004536,114104-10004536-9
161,TT-21070,OFF-PA-10002751,162733-10002751-5
162,EM-13960,TEC-AC-10003657,119697-10003657-5
163,RD-19900,OFF-EN-10001990,154508-10001990-2
164,MJ-17740,OFF-BI-10004002,113817-10004002-2
165,BM-11140,OFF-AR-10004441,139892-10004441-9
166,BM-11140,TEC-MA-10000822,139892-10000822-8
167,BM-11140,OFF-ST-10000991,139892-10000991-2
168,BM-11140,FUR-CH-10004287,139892-10004287-1
169,BM-11140,OFF-AR-10002656,139892-10002656-3
170,BM-11140,OFF-AP-10002518,139892-10002518-1
171,BM-11140,TEC-PH-10003931,139892-10003931-1
172,CS-12130,OFF-PA-10000659,118962-10000659-2
173,CS-12130,OFF-PA-10001144,118962-10001144-1
174,CS-12130,FUR-CH-10003817,118962-10003817-3
175,JB-15400,OFF-AP-10000891,100853-10000891-5
176,JB-15400,OFF-LA-10003148,100853-10003148-2
177,SJ-20500,OFF-AP-10002684,152366-10002684-9
178,JE-15745,FUR-CH-10004698,101511-10004698-3
179,JE-15745,OFF-SU-10002189,101511-10002189-1
180,JK-15640,OFF-AR-10001940,137225-10001940-3
181,DK-13150,OFF-ST-10003455,166191-10003455-2
182,DK-13150,TEC-AC-10004659,166191-10004659-4
183,RM-19675,TEC-PH-10003273,158274-10003273-5
184,RM-19675,TEC-PH-10004896,158274-10004896-1
185,RM-19675,TEC-AC-10002345,158274-10002345-2
186,SK-19990,OFF-BI-10001890,105018-10001890-7
187,FM-14290,TEC-AC-10002323,123260-10002323-1
188,AM-10360,OFF-ST-10001328,157000-10001328-3
189,AM-10360,OFF-PA-10001950,157000-10001950-2
190,MP-17470,FUR-BO-10002613,102281-10002613-8
191,MP-17470,TEC-PH-10001552,102281-10001552-7
192,MP-17470,OFF-PA-10000061,102281-10000061-5
193,MP-17470,FUR-BO-10002545,102281-10002545-6
194,MP-17470,OFF-AR-10003514,102281-10003514-1
195,MZ-17515,OFF-EN-10001509,131457-10001509-1
196,CB-12025,OFF-AR-10004685,140004-10004685-7
197,CB-12025,OFF-AR-10004027,140004-10004027-6
198,VM-21685,OFF-ST-10001414,107720-10001414-4
199,FH-14365,OFF-BI-10000343,124303-10000343-2
200,FH-14365,OFF-PA-10002749,124303-10002749-1
201,MB-17305,OFF-PA-10002666,105074-10002666-2
202,BS-11755,FUR-TA-10004289,133690-10004289-2
203,BS-11755,OFF-AP-10003622,133690-10003622-2
204,LC-17140,OFF-AP-10003217,116701-10003217-6
205,HK-14890,FUR-FU-10002960,126382-10002960-3
206,LE-16810,TEC-PH-10001918,108329-10001918-4
207,JH-15985,OFF-ST-10000642,135860-10000642-8
208,JH-15985,TEC-PH-10001700,135860-10001700-1
209,JH-15985,OFF-BI-10003274,135860-10003274-1
210,JH-15985,OFF-FA-10000134,135860-10000134-5
211,JH-15985,OFF-ST-10001522,135860-10001522-9
212,MS-17980,TEC-AC-10001266,101007-10001266-2
213,VW-21775,OFF-LA-10004544,146262-10004544-2
214,VW-21775,FUR-BO-10004695,146262-10004695-4
215,VW-21775,TEC-PH-10002844,146262-10002844-6
216,VW-21775,TEC-MA-10000864,146262-10000864-1
217,VW-21775,TEC-AC-10000109,146262-10000109-8
218,JH-15910,OFF-ST-10001328,130162-10001328-9
219,JH-15910,TEC-PH-10002563,130162-10002563-3
220,JB-15925,OFF-FA-10000585,169397-10000585-5
221,JB-15925,OFF-PA-10004000,169397-10004000-2
222,JB-15925,OFF-BI-10002852,169397-10002852-1
223,JB-15925,FUR-FU-10000087,169397-10000087-7
224,JB-15925,TEC-MA-10001148,169397-10001148-4
225,JB-15925,OFF-AR-10001958,169397-10001958-2
226,DS-13180,OFF-AR-10001026,163055-10001026-2
227,DS-13180,FUR-TA-10003748,163055-10003748-6
228,DS-13180,OFF-ST-10002485,163055-10002485-2
229,VD-21670,FUR-CH-10004860,145436-10004860-1
230,VD-21670,FUR-CH-10004477,145436-10004477-3
231,EA-14035,OFF-BI-10001679,156216-10001679-1
232,CS-12400,FUR-TA-10001705,100930-10001705-2
233,CS-12400,FUR-TA-10003473,100930-10003473-6
234,CS-12400,OFF-BI-10001679,100930-10001679-5
235,CS-12400,FUR-FU-10004017,100930-10004017-2
236,CS-12400,TEC-AC-10003832,100930-10003832-6
237,DB-13120,OFF-PA-10002479,160514-10002479-1
238,KL-16645,OFF-PA-10003349,157749-10003349-2
239,KL-16645,FUR-FU-10000576,157749-10000576-4
240,KL-16645,FUR-FU-10004351,157749-10004351-1
241,KL-16645,TEC-PH-10000011,157749-10000011-3
242,KL-16645,FUR-TA-10002607,157749-10002607-1
243,KL-16645,FUR-FU-10002505,157749-10002505-4
244,KL-16645,OFF-AR-10004685,157749-10004685-7
245,DW-13480,FUR-CH-10004063,131926-10004063-2
246,DW-13480,OFF-ST-10002276,131926-10002276-1
247,DW-13480,OFF-PA-10004082,131926-10004082-4
248,DW-13480,OFF-AP-10002945,131926-10002945-1
249,DW-13480,OFF-PA-10000061,131926-10000061-2
250,LH-17155,FUR-CH-10002965,154739-10002965-3
251,KC-16540,OFF-PA-10004569,145625-10004569-7
252,KC-16540,TEC-AC-10003832,145625-10003832-3
253,DL-13315,OFF-ST-10001228,146941-10001228-8
254,DL-13315,OFF-EN-10003296,146941-10003296-3
255,DR-12880,FUR-FU-10002505,159982-10002505-1
256,DR-12880,OFF-ST-10004804,159982-10004804-8
257,DR-12880,OFF-ST-10001590,159982-10001590-5
258,DR-12880,TEC-PH-10001580,159982-10001580-6
259,CC-12670,TEC-AC-10000290,163139-10000290-2
260,CC-12670,OFF-ST-10002790,163139-10002790-2
261,CC-12670,OFF-BI-10003460,163139-10003460-1
262,Dl-13600,OFF-AP-10002203,155299-10002203-1
263,SB-20290,TEC-MA-10000822,106992-10000822-3
264,SB-20290,TEC-MA-10003353,106992-10003353-2
265,RC-19825,TEC-PH-10001433,125318-10001433-3
266,AH-10210,TEC-AC-10004469,155040-10004469-7
267,CB-12535,OFF-AR-10003602,136826-10003602-1
268,PG-18895,OFF-FA-10003472,111010-10003472-7
269,CA-12310,OFF-ST-10004180,145366-10004180-3
270,CA-12310,OFF-EN-10004386,145366-10004386-5
271,KH-16690,OFF-ST-10003208,163979-10003208-7
272,HA-14920,TEC-AC-10003628,155334-10003628-2
273,HA-14920,FUR-FU-10003274,155334-10003274-5
274,HA-14920,OFF-BI-10002557,155334-10002557-1
275,BB-10990,OFF-PA-10002615,118136-10002615-8
276,BB-10990,OFF-AR-10001427,118136-10001427-5
277,AG-10495,OFF-PA-10000673,132976-10000673-1
278,AG-10495,OFF-PA-10004470,132976-10004470-1
279,AG-10495,OFF-ST-10000876,132976-10000876-5
280,AG-10495,OFF-LA-10002043,132976-10002043-2
281,SC-20725,OFF-BI-10004967,161991-10004967-2
282,SC-20725,TEC-PH-10001760,161991-10001760-1
283,JO-15280,FUR-TA-10002903,130890-10002903-1
284,TB-21520,OFF-PA-10000474,130883-10000474-1
285,TB-21520,TEC-AC-10001956,130883-10001956-2
286,TB-21520,OFF-PA-10004100,130883-10004100-3
287,AH-10195,OFF-BI-10000778,112697-10000778-2
288,AH-10195,OFF-AP-10002684,112697-10002684-1
289,AH-10195,OFF-SU-10000646,112697-10000646-9
290,NZ-18565,OFF-FA-10002983,110772-10002983-1
291,NZ-18565,OFF-LA-10004689,110772-10004689-1
292,NZ-18565,TEC-AC-10002001,110772-10002001-2
293,NZ-18565,FUR-BO-10004709,110772-10004709-8
294,KL-16555,FUR-FU-10004091,111451-10004091-3
295,KL-16555,FUR-CH-10001891,111451-10001891-2
296,KL-16555,FUR-FU-10002918,111451-10002918-2
297,KL-16555,OFF-BI-10004593,111451-10004593-7
298,KL-16555,OFF-FA-10004854,111451-10004854-2
299,JD-15895,OFF-PA-10002105,142545-10002105-3
300,JD-15895,OFF-ST-10002756,142545-10002756-1
301,JD-15895,OFF-PA-10004243,142545-10004243-5
302,JD-15895,FUR-FU-10001861,142545-10001861-7
303,JD-15895,OFF-BI-10002706,142545-10002706-1
304,JH-15910,FUR-TA-10002533,152380-10002533-2
305,AS-10225,FUR-FU-10002671,144253-10002671-2
306,KB-16600,OFF-AR-10003651,130960-10003651-9
307,CR-12625,OFF-BI-10001072,111003-10001072-4
308,CR-12625,OFF-AR-10002135,111003-10002135-2
309,SH-20395,OFF-AR-10002804,126774-10002804-4
310,BP-11185,FUR-FU-10001918,142902-10001918-1
311,BP-11185,FUR-CH-10004086,142902-10004086-4
312,BP-11185,FUR-FU-10001756,142902-10001756-1
313,BP-11185,OFF-LA-10000634,142902-10000634-6
314,TS-21205,FUR-FU-10001588,120887-10001588-8
315,AG-10525,TEC-PH-10002398,167850-10002398-1
316,AG-10525,OFF-PA-10001937,167850-10001937-1
317,SP-20860,OFF-AR-10003373,164259-10003373-9
318,NM-18445,FUR-CH-10002602,164973-10002602-1
319,NM-18445,TEC-MA-10002927,164973-10002927-3
320,NM-18445,TEC-PH-10004093,164973-10004093-2
321,NM-18445,TEC-AC-10000892,164973-10000892-3
322,NM-18445,OFF-ST-10002974,164973-10002974-4
323,FA-14230,OFF-FA-10000624,156601-10000624-7
324,GK-14620,OFF-BI-10004593,162138-10004593-2
325,GK-14620,TEC-AC-10001908,162138-10001908-9
326,DJ-13510,FUR-FU-10001967,153339-10001967-1
327,PO-18850,TEC-PH-10003645,141544-10003645-2
328,PO-18850,OFF-ST-10000675,141544-10000675-5
329,PO-18850,FUR-CH-10003312,141544-10003312-7
330,PO-18850,OFF-LA-10001074,141544-10001074-1
331,PO-18850,OFF-BI-10001524,141544-10001524-3
332,JL-15850,TEC-PH-10004614,150147-10004614-8
333,JL-15850,OFF-BI-10001153,150147-10001153-2
334,JL-15850,OFF-BI-10001982,150147-10001982-4
335,DB-13615,OFF-BI-10001922,137946-10001922-4
336,DB-13615,TEC-CO-10001449,137946-10001449-9
337,DB-13615,OFF-BI-10004140,137946-10004140-1
338,AC-10420,OFF-BI-10003314,129924-10003314-7
339,AC-10420,FUR-TA-10004575,129924-10004575-6
340,KL-16645,OFF-FA-10000490,128167-10000490-4
341,JD-15895,OFF-AR-10000122,122336-10000122-1
342,JD-15895,OFF-BI-10003656,122336-10003656-5
343,JD-15895,OFF-FA-10002780,122336-10002780-3
344,JD-15895,TEC-PH-10000702,122336-10000702-7
345,CS-12130,OFF-ST-10000107,120712-10000107-8
346,CC-12550,TEC-PH-10002293,169901-10002293-4
347,TD-20995,OFF-AR-10004027,134306-10004027-7
348,TD-20995,OFF-PA-10000249,134306-10000249-2
349,TD-20995,OFF-AR-10001374,134306-10001374-1
350,AB-10060,TEC-AC-10000290,129714-10000290-6
351,AB-10060,OFF-PA-10001970,129714-10001970-2
352,AB-10060,OFF-BI-10002160,129714-10002160-3
353,AB-10060,OFF-PA-10001970,129714-10001970-4
354,AB-10060,OFF-BI-10004995,129714-10004995-4
355,JL-15505,FUR-BO-10002268,138520-10002268-3
356,JL-15505,OFF-EN-10001137,138520-10001137-8
357,JL-15505,OFF-AR-10002399,138520-10002399-1
358,JL-15505,OFF-PA-10002713,138520-10002713-3
359,HK-14890,OFF-PA-10002666,130001-10002666-3
360,VB-21745,OFF-AP-10001124,155698-10001124-6
361,VB-21745,OFF-LA-10001158,155698-10001158-2
362,KW-16435,OFF-LA-10001158,144904-10001158-2
363,KW-16435,FUR-CH-10000785,144904-10000785-4
364,KW-16435,OFF-AR-10003732,144904-10003732-5
365,KW-16435,FUR-FU-10000023,144904-10000023-4
366,JD-16060,OFF-ST-10001713,123344-10001713-2
367,MK-17905,OFF-BI-10002412,155516-10002412-2
368,MK-17905,OFF-SU-10001225,155516-10001225-7
369,MK-17905,OFF-ST-10002406,155516-10002406-1
370,MK-17905,FUR-BO-10002545,155516-10002545-1
371,GT-14755,OFF-PA-10002036,104745-10002036-2
372,GT-14755,OFF-ST-10002205,104745-10002205-5
373,AG-10900,OFF-BI-10001982,119137-10001982-8
374,AG-10900,TEC-AC-10003911,119137-10003911-1
375,AG-10900,OFF-AR-10000658,119137-10000658-9
376,AG-10900,TEC-AC-10002076,119137-10002076-4
377,MM-18280,OFF-PA-10003039,134656-10003039-9
378,AR-10405,FUR-TA-10004915,134481-10004915-1
379,RA-19915,OFF-AP-10000696,130792-10000696-8
380,RA-19915,OFF-ST-10003327,130792-10003327-2
381,RA-19915,OFF-BI-10000309,130792-10000309-1
382,AS-10285,OFF-PA-10004734,134775-10004734-5
383,AS-10285,OFF-BI-10002225,134775-10002225-4
384,LA-16780,TEC-AC-10004708,125395-10004708-4
385,DO-13435,FUR-TA-10000617,168935-10000617-3
386,DO-13435,TEC-AC-10002335,168935-10002335-8
387,DK-13225,TEC-MA-10001681,122756-10001681-4
388,DK-13225,FUR-FU-10001935,122756-10001935-2
389,NG-18430,OFF-AR-10004757,115973-10004757-2
390,MV-18190,OFF-BI-10000050,101798-10000050-2
391,MV-18190,TEC-AC-10001998,101798-10001998-3
392,JG-15115,TEC-PH-10003012,135972-10003012-2
393,JG-15115,TEC-CO-10002313,135972-10002313-1
394,BP-11095,OFF-BI-10003982,134971-10003982-1
395,VP-21730,OFF-BI-10004492,102946-10004492-7
396,SS-20140,OFF-ST-10000798,165603-10000798-4
397,SS-20140,OFF-PA-10002552,165603-10002552-1
398,HP-14815,OFF-SU-10002573,122259-10002573-7
399,AG-10675,OFF-ST-10001580,108987-10001580-3
400,AG-10675,FUR-BO-10004834,108987-10004834-2
401,AG-10675,OFF-ST-10000934,108987-10000934-1
402,AG-10675,TEC-AC-10000158,108987-10000158-5
403,LF-17185,OFF-PA-10001947,113166-10001947-9
404,SP-20650,OFF-AR-10003478,155208-10003478-3
405,RF-19840,OFF-AP-10004249,117933-10004249-3
406,KH-16510,TEC-AC-10000158,117457-10000158-1
407,KH-16510,TEC-CO-10004115,117457-10004115-1
408,KH-16510,OFF-PA-10003724,117457-10003724-2
409,KH-16510,FUR-TA-10002041,117457-10002041-1
410,KH-16510,OFF-PA-10002893,117457-10002893-9
411,KH-16510,OFF-LA-10003766,117457-10003766-2
412,KH-16510,OFF-PA-10001970,117457-10001970-5
413,KH-16510,FUR-BO-10001972,117457-10001972-1
414,KH-16510,FUR-CH-10003956,117457-10003956-1
415,KC-16675,OFF-PA-10000157,142636-10000157-1
416,KC-16675,FUR-CH-10001891,142636-10001891-3
417,CJ-12010,OFF-AR-10004344,122105-10004344-9
418,PB-19150,FUR-CH-10004886,148796-10004886-3
419,VB-21745,OFF-PA-10003845,154816-10003845-5
420,SP-20860,OFF-AR-10001573,110478-10001573-9
421,SP-20860,OFF-EN-10000483,110478-10000483-1
422,JE-15745,TEC-AC-10004114,142048-10004114-1
423,MP-17965,FUR-FU-10004712,125388-10004712-5
424,MP-17965,OFF-ST-10000918,125388-10000918-3
425,NF-18385,FUR-CH-10000015,155705-10000015-8
426,JM-15265,FUR-FU-10003347,149160-10003347-2
427,JM-15265,OFF-BI-10001543,149160-10001543-2
428,SD-20485,TEC-MA-10000029,101476-10000029-6
429,KH-16630,OFF-AR-10000369,152275-10000369-6
430,RB-19795,OFF-BI-10004584,123750-10004584-1
431,RB-19795,TEC-AC-10004659,123750-10004659-4
432,RB-19795,TEC-AC-10004659,123750-10004659-2
433,RB-19795,OFF-ST-10000617,123750-10000617-4
434,DB-13060,OFF-ST-10003306,127369-10003306-7
435,MK-18160,OFF-BI-10000773,150574-10000773-4
436,MK-18160,TEC-AC-10002600,150574-10002600-2
437,PO-19180,TEC-MA-10002937,147375-10002937-1
438,PO-19180,OFF-PA-10001970,147375-10001970-3
439,BB-11545,OFF-PA-10002230,130043-10002230-3
440,CV-12805,FUR-CH-10003396,157252-10003396-2
441,PK-19075,FUR-FU-10000246,115756-10000246-1
442,PK-19075,OFF-ST-10000060,115756-10000060-1
443,PK-19075,OFF-ST-10003058,115756-10003058-7
444,PK-19075,OFF-PA-10002222,115756-10002222-9
445,PK-19075,FUR-CH-10002372,115756-10002372-2
446,PK-19075,OFF-LA-10001317,115756-10001317-2
447,TB-21595,FUR-FU-10000206,154214-10000206-2
448,RB-19360,OFF-AR-10000588,166674-10000588-5
449,RB-19360,OFF-ST-10001469,166674-10001469-1
450,RB-19360,OFF-AR-10001953,166674-10001953-2
451,RB-19360,OFF-AR-10003156,166674-10003156-3
452,RB-19360,OFF-AR-10004974,166674-10004974-9
453,RB-19360,TEC-PH-10002365,166674-10002365-3
454,EB-13705,FUR-TA-10001539,147277-10001539-2
455,EB-13705,OFF-ST-10000142,147277-10000142-6
456,KH-16630,TEC-AC-10001772,100153-10001772-6
457,SC-20095,FUR-CH-10000225,110674-10000225-1
458,NF-18385,FUR-CH-10002331,157945-10002331-7
459,NF-18385,OFF-EN-10001415,157945-10001415-8
460,JH-15985,OFF-AP-10002472,109638-10002472-1
461,JH-15985,TEC-AC-10004571,109638-10004571-8
462,JH-15985,OFF-BI-10001098,109638-10001098-5
463,TN-21040,FUR-FU-10000023,109869-10000023-2
464,TN-21040,FUR-TA-10001889,109869-10001889-1
465,TN-21040,OFF-BI-10000315,109869-10000315-2
466,TN-21040,OFF-SU-10003505,109869-10003505-1
467,TN-21040,OFF-AP-10002578,109869-10002578-7
468,JS-15940,FUR-FU-10002918,101399-10002918-2
469,DS-13180,FUR-BO-10002824,154907-10002824-2
470,CC-12670,OFF-BI-10002194,100419-10002194-4
471,MH-17785,OFF-PA-10004071,154144-10004071-5
472,JP-15520,OFF-ST-10002743,144666-10002743-3
473,JP-15520,FUR-BO-10001601,144666-10001601-2
474,JP-15520,TEC-PH-10002680,144666-10002680-7
475,JP-15520,OFF-ST-10001321,144666-10001321-9
476,JP-15520,OFF-PA-10001509,144666-10001509-6
477,JP-15520,OFF-PA-10003465,144666-10003465-9
478,KH-16690,TEC-PH-10000149,103891-10000149-9
479,JE-15475,FUR-FU-10002671,152632-10002671-4
480,JG-15805,OFF-AR-10003045,100790-10003045-1
481,JG-15805,OFF-ST-10000689,100790-10000689-7
482,XP-21865,TEC-AC-10001445,134677-10001445-9
483,EM-14065,OFF-AR-10002053,127691-10002053-5
484,EM-14065,TEC-AC-10002567,127691-10002567-1
485,MT-18070,OFF-LA-10003923,140963-10003923-2
486,MT-18070,FUR-BO-10001337,140963-10001337-5
487,MT-18070,TEC-PH-10001924,140963-10001924-2
488,SA-20830,TEC-PH-10001363,154627-10001363-2
489,CW-11905,TEC-PH-10000376,133753-10000376-7
490,CW-11905,TEC-AC-10000303,133753-10000303-6
491,CW-11905,OFF-AR-10001953,133753-10001953-7
492,AJ-10960,OFF-ST-10001809,113362-10001809-4
493,AJ-10960,OFF-EN-10003845,113362-10003845-1
494,SS-20590,TEC-AC-10000991,169166-10000991-9
495,RO-19780,FUR-TA-10001857,120929-10001857-1
496,MD-17350,OFF-EN-10001434,134782-10001434-1
497,SC-20095,OFF-BI-10002498,126158-10002498-1
